SI max,Arrival Rate,Total Response Time Mean,Total Response Time CI95
10,1.0,0.2195267705208377,0.0038334960789348
10,2.0,0.31672514496597,0.005080297787653
10,3.0,0.4486382188554194,0.0061470681354087
10,4.0,0.585489468745596,0.0057494665077509
10,5.0,0.6707217420633103,0.0051635173295566
10,6.0,0.6998232213879727,0.0042077348434909
10,7.0,0.6937406868898438,0.0032856892026067
10,8.0,0.6693943280107375,0.0026619812655694
10,9.0,0.6380031592213466,0.0021007724859552
10,10.0,0.6054305312563792,0.0017598166081697
10,11.0,0.5739156510610198,0.001567449169353
10,12.0,0.5445114950482735,0.0015471454178441
20,1.0,0.2194827138674455,0.0038337131838626
20,2.0,0.317648615455265,0.0052501784693217
20,3.0,0.4874962628477357,0.0098522038289821
20,4.0,0.768951069149856,0.0125602745960784
20,5.0,1.1180740596670438,0.0157995387689656
20,6.0,1.3633271558198905,0.0146130457189964
20,7.0,1.4595213524833102,0.0103554496489574
20,8.0,1.4677222518215096,0.0074058823533283
20,9.0,1.4267157454162942,0.0058045293791821
20,10.0,1.3676524730458712,0.0044867091259218
20,11.0,1.30266261619394,0.0035442197878503
20,12.0,1.2382456918529705,0.0032260410184754
30,1.0,0.2194827138674455,0.0038337131838626
30,2.0,0.3176500326893179,0.0052740653928711
30,3.0,0.4894598811856172,0.0108807391904955
30,4.0,0.8207008022896625,0.0166893092971126
30,5.0,1.3863389487963185,0.0292983901802037
30,6.0,1.9848143564082312,0.0317895115328169
30,7.0,2.3069675716697704,0.021661031080225
30,8.0,2.380989031715432,0.0139025582255675
30,9.0,2.332317722196578,0.0094437636601051
30,10.0,2.2328046020981,0.0074330858081156
30,11.0,2.1168566249569807,0.0058800544950236
30,12.0,2.0027911261353566,0.0052244595570022
40,1.0,0.2194827138674455,0.0038337131838626
40,2.0,0.3176500326893179,0.0052740653928711
40,3.0,0.4898990249090414,0.01110877129425
40,4.0,0.8326734117435923,0.0184940153588214
40,5.0,1.5264903856647625,0.0389950003989244
40,6.0,2.5406918402484395,0.0523102939544732
40,7.0,3.2316526267655963,0.0373717899669071
40,8.0,3.3925226206006744,0.0201203355106922
40,9.0,3.3098457653557216,0.0129845202728682
40,10.0,3.148750477378066,0.010413508488221
40,11.0,2.971228010052477,0.0077902336597801
40,12.0,2.796054841671235,0.0074789270066621
50,1.0,0.2194827138674454,0.0038337131838626
50,2.0,0.317650032689318,0.0052740653928711
50,3.0,0.4898990249090417,0.01110877129425
50,4.0,0.8348930519664002,0.0190242369975033
50,5.0,1.6174243814679914,0.0490844456761663
50,6.0,3.10688972674356,0.0816624658061832
50,7.0,4.243691142839088,0.0537360803068361
50,8.0,4.465407718055936,0.0251562759756344
50,9.0,4.330356045949348,0.0148951082634666
50,10.0,4.088798379729941,0.0126205257735568
50,11.0,3.838770416758306,0.0104257420285375
50,12.0,3.601599495568091,0.0096323960394427
60,1.0,0.2194827138674455,0.0038337131838626
60,2.0,0.317650032689318,0.0052740653928711
60,3.0,0.4898990249090416,0.01110877129425
60,4.0,0.8358365071972786,0.0193984246900593
60,5.0,1.6458717896974235,0.0524768922401637
60,6.0,3.6257079799789538,0.1156199178096572
60,7.0,5.294025356026539,0.0735457152752961
60,8.0,5.581253558584248,0.0291589265508293
60,9.0,5.371608157322881,0.0176554388989676
60,10.0,5.04543776176371,0.0152613851274334
60,11.0,4.718412355935631,0.013113759943132
60,12.0,4.415004828879291,0.0120944927332028
70,1.0,0.2194827138674455,0.0038337131838626
70,2.0,0.3176500326893178,0.0052740653928711
70,3.0,0.4898990249090416,0.01110877129425
70,4.0,0.8363247113471698,0.0196525483920753
70,5.0,1.663505628910482,0.0563122143220742
70,6.0,4.10576933117395,0.1592937350652789
70,7.0,6.415921952860037,0.0922315138350027
70,8.0,6.7256350868567365,0.0326142944519258
70,9.0,6.424761669838428,0.0199296543509287
70,10.0,6.009494439209386,0.0185451515975317
70,11.0,5.609996446353905,0.016126571471487
70,12.0,5.235255724152022,0.0150698608578846
80,1.0,0.2194827138674455,0.0038337131838626
80,2.0,0.3176500326893178,0.0052740653928711
80,3.0,0.4898990249090416,0.01110877129425
80,4.0,0.8363247113471697,0.0196525483920753
80,5.0,1.6703831459984384,0.05761568382704
80,6.0,4.5416639731996185,0.2022527491727295
80,7.0,7.579364591193026,0.1125874453441683
80,8.0,7.8898668647076,0.0357478236712826
80,9.0,7.491431669123826,0.0227415153902429
80,10.0,6.984611782070806,0.0217560522405683
80,11.0,6.503872731017653,0.0191976475454426
80,12.0,6.060000937734656,0.01752407994345
90,1.0,0.2194827138674454,0.0038337131838626
90,2.0,0.317650032689318,0.0052740653928711
90,3.0,0.4898990249090414,0.01110877129425
90,4.0,0.8363247113471693,0.0196525483920753
90,5.0,1.672030314687904,0.0579876811870033
90,6.0,4.929499841548946,0.2455018973690448
90,7.0,8.78241839512421,0.1281071302538765
90,8.0,9.0635612432556,0.0379321122740379
90,9.0,8.56998775078396,0.0261867666333613
90,10.0,7.964631365000266,0.0245279525134998
90,11.0,7.403148523858897,0.0222104119802325
90,12.0,6.8872199749646,0.0198318472090448
100,1.0,0.2194827138674455,0.0038337131838626
100,2.0,0.3176500326893178,0.0052740653928711
100,3.0,0.4898990249090413,0.01110877129425
100,4.0,0.8363247113471697,0.0196525483920753
100,5.0,1.6728611134324998,0.0579920673458234
100,6.0,5.261669190601344,0.2925765838647938
100,7.0,9.985631096514211,0.1476607596676938
100,8.0,10.243580848710216,0.0413992502321389
100,9.0,9.63985293726189,0.0287292092286978
100,10.0,8.946483947070947,0.0284171977147009
100,11.0,8.30561182904316,0.025124448261055
100,12.0,7.718437767097006,0.0227385250214055
110,1.0,0.2194827138674455,0.0038337131838626
110,2.0,0.317650032689318,0.0052740653928711
110,3.0,0.4898990249090415,0.01110877129425
110,4.0,0.8363247113471695,0.0196525483920753
110,5.0,1.6727696462874426,0.0580171314956504
110,6.0,5.558734143701426,0.3401536028862366
110,7.0,11.173008445359374,0.1689966936627975
110,8.0,11.43353210212402,0.0438967935194738
110,9.0,10.729087445371054,0.0323357984225989
110,10.0,9.934616408414422,0.031534202787872
110,11.0,9.21004614722245,0.0281343897844678
110,12.0,8.553677531865267,0.025389244404316
120,1.0,0.2194827138674455,0.0038337131838626
120,2.0,0.317650032689318,0.0052740653928711
120,3.0,0.4898990249090416,0.01110877129425
120,4.0,0.8363247113471696,0.0196525483920753
120,5.0,1.6729245924431146,0.0580457858743091
120,6.0,5.824668803066299,0.3820395969564721
120,7.0,12.370606891863826,0.1899640404289218
120,8.0,12.626132709520702,0.0481831361442717
120,9.0,11.816950614409963,0.0361824530332662
120,10.0,10.925242961065154,0.034980628788587
120,11.0,10.120268695704048,0.031157812535003
120,12.0,9.38998500075145,0.0282240708107968
130,1.0,0.2194827138674455,0.0038337131838626
130,2.0,0.317650032689318,0.0052740653928711
130,3.0,0.4898990249090416,0.01110877129425
130,4.0,0.8363247113471698,0.0196525483920753
130,5.0,1.6729245924431162,0.0580457858743091
130,6.0,6.071526058452561,0.4307608441690339
130,7.0,13.556222993487587,0.2104717461468467
130,8.0,13.811461319014173,0.053253638409452
130,9.0,12.91113799972947,0.0397377656665201
130,10.0,11.918864463200231,0.0386223342250144
130,11.0,11.028040954746745,0.0345515698064195
130,12.0,10.225286949433848,0.0311255011571477
140,1.0,0.2194827138674454,0.0038337131838626
140,2.0,0.3176500326893179,0.0052740653928711
140,3.0,0.4898990249090417,0.01110877129425
140,4.0,0.8363247113471696,0.0196525483920753
140,5.0,1.6729245924431155,0.0580457858743091
140,6.0,6.256869247609373,0.4692806185459245
140,7.0,14.73575568261479,0.2389670367864547
140,8.0,15.009733569746798,0.0583316354058407
140,9.0,14.00196588217908,0.0433848924737003
140,10.0,12.914621933843485,0.0416167111648859
140,11.0,11.942172722890572,0.0378814101708067
140,12.0,11.065286285813675,0.0341050567190689
150,1.0,0.2194827138674455,0.0038337131838626
150,2.0,0.3176500326893181,0.0052740653928711
150,3.0,0.4898990249090413,0.01110877129425
150,4.0,0.8363247113471699,0.0196525483920753
150,5.0,1.6729245924431149,0.0580457858743091
150,6.0,6.405555142730714,0.5016817389730974
150,7.0,15.8928419642118,0.2601450514914744
150,8.0,16.209457387648857,0.0634435146817685
150,9.0,15.103937398561015,0.0479986284987007
150,10.0,13.913962242176208,0.0463129473671674
150,11.0,12.855596728334364,0.0410533200988918
150,12.0,11.905021429968569,0.0376425088525738
160,1.0,0.2194827138674454,0.0038337131838626
160,2.0,0.3176500326893179,0.0052740653928711
160,3.0,0.4898990249090416,0.01110877129425
160,4.0,0.8363247113471699,0.0196525483920753
160,5.0,1.6729245924431158,0.0580457858743091
160,6.0,6.512216975180324,0.5295594441259334
160,7.0,17.047444066780606,0.2882818369677339
160,8.0,17.403272229910563,0.0704635024309879
160,9.0,16.201865483435107,0.0533932022976485
160,10.0,14.915001391501468,0.0496795921747083
160,11.0,13.771362939604373,0.0446836430557854
160,12.0,12.747418180988326,0.0402183081972736
